B,P,C,X,N,Time
5,1,1,0,1,10.916565
5,1,5,0,1,10.886756
5,5,1,0,1,2.735450
5,5,5,0,1,2.744125
10,1,1,0,1,10.903210
10,1,5,0,1,10.899501
10,1,10,0,1,10.903127
10,5,1,0,1,2.754307
10,5,5,0,1,2.751947
10,5,10,0,1,2.747774
10,10,1,0,1,1.724525
10,10,5,0,1,1.709461
10,10,10,0,1,1.717170
5,1,1,200,1,11.081741
5,1,5,200,1,11.090808
5,1,10,200,1,11.099043
5,5,1,200,1,10.939002
5,5,5,200,1,2.942980
10,1,1,200,1,11.093009
10,1,5,200,1,11.083512
10,1,10,200,1,11.084516
10,5,1,200,1,10.945957
10,5,5,200,1,2.931409
10,5,10,200,1,2.946994
10,10,1,200,1,10.939106
10,10,5,200,1,2.894311
10,10,10,200,1,1.922343
5,1,1,400,1,20.931703
5,1,5,400,1,11.284707
5,5,1,400,1,20.954848
5,5,5,400,1,4.901295
10,1,1,400,1,20.947140
10,1,5,400,1,11.288626
10,1,10,400,1,11.286878
10,5,1,400,1,20.950011
10,5,5,400,1,4.891509
10,5,10,400,1,3.129870
10,10,1,400,1,20.934728
10,10,5,400,1,4.901790
10,10,10,400,1,2.898757
